timestamp,home311_hall2851_sensor20141c20143_electric-mains_electric-combined,home311_bathroom2854_sensor20133_gas-pulse_gas
2018-03-18 16:00:00,48.0,4030.0
2018-03-18 17:00:00,87.0,3580.0
2018-03-18 18:00:00,127.0,4031.0
2018-03-18 19:00:00,247.0,9181.0
2018-03-18 20:00:00,166.0,8172.0
2018-03-18 21:00:00,149.0,7724.0
2018-03-18 22:00:00,195.0,1456.0
2018-03-18 23:00:00,79.0,0.0
2018-03-19 00:00:00,78.0,112.0
2018-03-19 01:00:00,106.0,3471.0
2018-03-19 02:00:00,93.0,0.0
2018-03-19 04:00:00,104.0,3584.0
2018-03-19 05:00:00,85.0,3247.0
2018-03-19 06:00:00,79.0,2464.0
2018-03-19 07:00:00,102.0,3135.0
2018-03-19 08:00:00,258.0,4592.0
2018-03-19 09:00:00,53.0,3807.0
2018-03-19 10:00:00,80.0,3696.0
2018-03-19 11:00:00,85.0,3695.0
2018-03-19 12:00:00,77.0,6941.0
2018-03-19 13:00:00,1466.0,3360.0
2018-03-19 14:00:00,907.0,112.0
2018-03-19 15:00:00,94.0,3472.0
2018-03-19 16:00:00,196.0,4925.0
2018-03-19 17:00:00,145.0,5488.0
2018-03-19 18:00:00,983.0,6606.0
2018-03-19 19:00:00,967.0,7502.0
2018-03-19 20:00:00,621.0,6941.0
2018-03-19 21:00:00,767.0,6939.0
2018-03-19 22:00:00,279.0,5372.0
2018-03-19 23:00:00,272.0,5487.0
2018-03-20 00:00:00,108.0,2128.0
2018-03-20 01:00:00,86.0,0.0
2018-03-20 02:00:00,47.0,0.0
2018-03-20 04:00:00,64.0,3693.0
2018-03-20 05:00:00,75.0,782.0
2018-03-20 06:00:00,93.0,6717.0
2018-03-20 07:00:00,125.0,4926.0
2018-03-20 08:00:00,951.0,3359.0
2018-03-20 09:00:00,120.0,4591.0
2018-03-20 10:00:00,189.0,4366.0
2018-03-20 11:00:00,300.0,4142.0
2018-03-20 12:00:00,199.0,2911.0
2018-03-20 13:00:00,463.0,3022.0
2018-03-20 14:00:00,617.0,3020.0
2018-03-20 15:00:00,546.0,2911.0
2018-03-20 16:00:00,618.0,3134.0
2018-03-20 17:00:00,466.0,2909.0
2018-03-20 18:00:00,587.0,3920.0
2018-03-20 19:00:00,1491.0,5148.0
2018-03-20 20:00:00,376.0,4589.0
2018-03-20 21:00:00,261.0,4700.0
2018-03-20 22:00:00,305.0,4253.0
2018-03-20 23:00:00,1187.0,5258.0
2018-03-21 00:00:00,119.0,224.0
2018-03-21 01:00:00,76.0,0.0
2018-03-21 02:00:00,79.0,0.0
2018-03-21 04:00:00,87.0,3247.0
2018-03-21 05:00:00,65.0,112.0
2018-03-21 06:00:00,91.0,3582.0
2018-03-21 07:00:00,73.0,3919.0
2018-03-21 08:00:00,1644.0,4702.0
