timestamp,home271_outside2521_sensor16767_gas-pulse_gas,home271_hall2523_sensor16781c16790_electric-mains_electric-combined
2017-12-20 13:00:00,0.0,106.0
2017-12-20 14:00:00,1679.0,125.0
2017-12-20 15:00:00,5487.0,152.0
2017-12-20 16:00:00,1568.0,175.0
2017-12-20 17:00:00,2352.0,1890.0
2017-12-20 18:00:00,448.0,455.0
2017-12-20 19:00:00,8054.0,515.0
2017-12-20 20:00:00,0.0,350.0
2017-12-20 21:00:00,2687.0,310.0
2017-12-20 22:00:00,224.0,366.0
2017-12-20 23:00:00,2463.0,176.0
2017-12-21 00:00:00,1903.0,126.0
2017-12-21 01:00:00,1792.0,149.0
2017-12-21 02:00:00,2687.0,130.0
2017-12-21 03:00:00,0.0,132.0
2017-12-21 04:00:00,2799.0,136.0
2017-12-21 05:00:00,2463.0,141.0
2017-12-21 06:00:00,0.0,120.0
2017-12-21 07:00:00,8958.0,257.0
2017-12-21 08:00:00,224.0,950.0
2017-12-21 09:00:00,0.0,524.0
2017-12-21 10:00:00,0.0,314.0
2017-12-21 11:00:00,0.0,104.0
2017-12-21 12:00:00,0.0,125.0
2017-12-21 13:00:00,0.0,113.0
2017-12-21 14:00:00,1680.0,129.0
2017-12-21 15:00:00,7726.0,215.0
2017-12-21 16:00:00,2911.0,1317.0
2017-12-21 17:00:00,4704.0,2042.0
2017-12-21 18:00:00,4031.0,1398.0
2017-12-21 19:00:00,8734.0,2603.0
2017-12-21 20:00:00,2128.0,1405.0
2017-12-21 21:00:00,336.0,1372.0
2017-12-21 22:00:00,2126.0,431.0
2017-12-21 23:00:00,2910.0,332.0
2017-12-22 00:00:00,2239.0,145.0
2017-12-22 01:00:00,0.0,117.0
2017-12-22 02:00:00,0.0,122.0
2017-12-22 03:00:00,1789.0,124.0
2017-12-22 04:00:00,7727.0,174.0
2017-12-22 05:00:00,2910.0,141.0
2017-12-22 06:00:00,2016.0,141.0
2017-12-22 07:00:00,4141.0,311.0
2017-12-22 08:00:00,4702.0,456.0
2017-12-22 09:00:00,0.0,248.0
2017-12-22 10:00:00,0.0,278.0
2017-12-22 11:00:00,0.0,216.0
2017-12-22 12:00:00,112.0,119.0
2017-12-22 13:00:00,0.0,697.0
2017-12-22 14:00:00,1679.0,711.0
