timestamp,home330_hall2992_sensor21429c21433_electric-mains_electric-combined,home330_outside2997_sensor21449_gas-pulse_gas
2018-04-16 00:00:00,524.0,0.0
2018-04-16 01:00:00,519.0,112.0
2018-04-16 02:00:00,528.0,0.0
2018-04-16 03:00:00,505.0,112.0
2018-04-16 04:00:00,509.0,0.0
2018-04-16 05:00:00,501.0,0.0
2018-04-16 06:00:00,539.0,7278.0
2018-04-16 07:00:00,682.0,5820.0
2018-04-16 08:00:00,578.0,336.0
2018-04-16 09:00:00,524.0,0.0
2018-04-16 10:00:00,513.0,223.0
2018-04-16 11:00:00,516.0,0.0
2018-04-16 12:00:00,524.0,224.0
2018-04-16 13:00:00,575.0,0.0
2018-04-16 14:00:00,541.0,0.0
2018-04-16 15:00:00,505.0,112.0
2018-04-16 16:00:00,496.0,0.0
2018-04-16 17:00:00,511.0,112.0
2018-04-16 18:00:00,604.0,1568.0
2018-04-16 19:00:00,1103.0,3358.0
2018-04-16 20:00:00,1367.0,1008.0
2018-04-16 21:00:00,730.0,0.0
2018-04-16 22:00:00,469.0,0.0
2018-04-16 23:00:00,312.0,0.0
2018-04-17 00:00:00,304.0,223.0
2018-04-17 01:00:00,310.0,0.0
2018-04-17 02:00:00,211.0,0.0
2018-04-17 03:00:00,198.0,112.0
2018-04-17 04:00:00,284.0,0.0
2018-04-17 05:00:00,249.0,5376.0
2018-04-17 06:00:00,369.0,12539.0
2018-04-17 07:00:00,535.0,5374.0
2018-04-17 08:00:00,362.0,112.0
2018-04-17 09:00:00,327.0,0.0
2018-04-17 10:00:00,320.0,0.0
2018-04-17 11:00:00,340.0,112.0
2018-04-17 12:00:00,304.0,0.0
2018-04-17 13:00:00,374.0,6494.0
2018-04-17 14:00:00,330.0,0.0
2018-04-17 15:00:00,627.0,3132.0
2018-04-17 16:00:00,410.0,0.0
2018-04-17 17:00:00,882.0,4811.0
2018-04-17 18:00:00,694.0,560.0
2018-04-17 19:00:00,506.0,4591.0
2018-04-17 20:00:00,602.0,0.0
2018-04-17 21:00:00,369.0,0.0
2018-04-17 22:00:00,233.0,0.0
2018-04-17 23:00:00,251.0,0.0
2018-04-18 00:00:00,233.0,223.0
2018-04-18 01:00:00,206.0,0.0
2018-04-18 02:00:00,214.0,112.0
2018-04-18 03:00:00,211.0,0.0
2018-04-18 04:00:00,223.0,2463.0
2018-04-18 05:00:00,265.0,8398.0
2018-04-18 06:00:00,353.0,4141.0
2018-04-18 07:00:00,699.0,6046.0
2018-04-18 08:00:00,336.0,0.0
2018-04-18 09:00:00,889.0,112.0
2018-04-18 10:00:00,301.0,0.0
2018-04-18 11:00:00,268.0,224.0
2018-04-18 12:00:00,233.0,0.0
2018-04-18 13:00:00,234.0,0.0
2018-04-18 14:00:00,210.0,112.0
2018-04-18 15:00:00,179.0,0.0
2018-04-18 16:00:00,254.0,0.0
2018-04-18 17:00:00,1081.0,1119.0
2018-04-18 18:00:00,627.0,7055.0
2018-04-18 19:00:00,910.0,0.0
2018-04-18 20:00:00,959.0,0.0
2018-04-18 21:00:00,774.0,224.0
2018-04-18 22:00:00,574.0,0.0
2018-04-18 23:00:00,541.0,0.0
2018-04-19 00:00:00,540.0,224.0
2018-04-19 01:00:00,556.0,0.0
2018-04-19 02:00:00,582.0,0.0
2018-04-19 03:00:00,518.0,112.0
2018-04-19 04:00:00,513.0,0.0
2018-04-19 05:00:00,493.0,112.0
2018-04-19 06:00:00,614.0,3805.0
2018-04-19 07:00:00,1217.0,1232.0
2018-04-19 08:00:00,1033.0,112.0
2018-04-19 09:00:00,726.0,0.0
2018-04-19 10:00:00,675.0,224.0
2018-04-19 11:00:00,628.0,0.0
2018-04-19 12:00:00,696.0,560.0
2018-04-19 13:00:00,621.0,0.0
2018-04-19 14:00:00,616.0,112.0
2018-04-19 15:00:00,879.0,0.0
2018-04-19 16:00:00,521.0,559.0
2018-04-19 17:00:00,400.0,0.0
2018-04-19 18:00:00,470.0,2575.0
2018-04-19 19:00:00,797.0,560.0
2018-04-19 20:00:00,652.0,0.0
2018-04-19 21:00:00,689.0,223.0
2018-04-19 22:00:00,337.0,0.0
2018-04-19 23:00:00,257.0,112.0
2018-04-20 00:00:00,249.0,0.0
2018-04-20 01:00:00,236.0,112.0
2018-04-20 02:00:00,254.0,0.0
2018-04-20 03:00:00,202.0,0.0
2018-04-20 04:00:00,181.0,224.0
2018-04-20 05:00:00,269.0,6831.0
2018-04-20 06:00:00,401.0,4477.0
2018-04-20 07:00:00,1098.0,112.0
2018-04-20 08:00:00,548.0,0.0
2018-04-20 09:00:00,425.0,3022.0
2018-04-20 10:00:00,395.0,223.0
2018-04-20 11:00:00,374.0,112.0
2018-04-20 12:00:00,338.0,0.0
2018-04-20 13:00:00,335.0,0.0
2018-04-20 14:00:00,374.0,2574.0
2018-04-20 15:00:00,977.0,0.0
2018-04-20 16:00:00,292.0,448.0
2018-04-20 17:00:00,311.0,0.0
2018-04-20 18:00:00,604.0,784.0
2018-04-20 19:00:00,751.0,784.0
2018-04-20 20:00:00,403.0,0.0
2018-04-20 21:00:00,409.0,112.0
2018-04-20 22:00:00,321.0,112.0
2018-04-20 23:00:00,304.0,0.0
2018-04-21 00:00:00,223.0,224.0
2018-04-21 01:00:00,244.0,0.0
2018-04-21 02:00:00,230.0,0.0
2018-04-21 03:00:00,215.0,112.0
2018-04-21 04:00:00,216.0,0.0
2018-04-21 05:00:00,267.0,8844.0
2018-04-21 06:00:00,278.0,4815.0
2018-04-21 07:00:00,666.0,112.0
2018-04-21 08:00:00,408.0,2350.0
2018-04-21 09:00:00,428.0,784.0
2018-04-21 10:00:00,387.0,0.0
2018-04-21 11:00:00,405.0,112.0
2018-04-21 12:00:00,375.0,224.0
2018-04-21 13:00:00,342.0,0.0
2018-04-21 14:00:00,330.0,112.0
2018-04-21 15:00:00,369.0,0.0
2018-04-21 16:00:00,925.0,895.0
2018-04-21 17:00:00,331.0,4031.0
2018-04-21 18:00:00,365.0,1008.0
2018-04-21 19:00:00,622.0,336.0
2018-04-21 20:00:00,785.0,336.0
2018-04-21 21:00:00,959.0,0.0
2018-04-21 22:00:00,840.0,224.0
2018-04-21 23:00:00,593.0,0.0
2018-04-22 00:00:00,270.0,112.0
2018-04-22 01:00:00,252.0,0.0
2018-04-22 02:00:00,230.0,0.0
2018-04-22 03:00:00,227.0,112.0
2018-04-22 04:00:00,216.0,0.0
2018-04-22 05:00:00,284.0,8392.0
2018-04-22 06:00:00,246.0,0.0
2018-04-22 07:00:00,443.0,336.0
2018-04-22 08:00:00,373.0,112.0
