timestamp,home288_hall2680_sensor18560c18564_electric-mains_electric-combined,home288_hall2680_sensor18566_gas-pulse_gas
2018-03-17 13:00:00,408.0,223.0
2018-03-17 14:00:00,316.0,112.0
2018-03-17 15:00:00,315.0,112.0
2018-03-17 16:00:00,276.0,112.0
2018-03-17 17:00:00,244.0,6379.0
2018-03-17 18:00:00,325.0,8047.0
2018-03-17 19:00:00,270.0,7823.0
2018-03-17 20:00:00,368.0,7375.0
2018-03-17 21:00:00,317.0,3689.0
2018-03-17 22:00:00,352.0,0.0
2018-03-17 23:00:00,291.0,0.0
2018-03-18 00:00:00,91.0,0.0
2018-03-18 01:00:00,151.0,112.0
2018-03-18 02:00:00,90.0,0.0
2018-03-18 04:00:00,98.0,112.0
2018-03-18 05:00:00,88.0,0.0
2018-03-18 06:00:00,160.0,112.0
2018-03-18 07:00:00,92.0,112.0
2018-03-18 08:00:00,120.0,11643.0
2018-03-18 09:00:00,186.0,9068.0
2018-03-18 10:00:00,110.0,7613.0
2018-03-18 11:00:00,296.0,6380.0
2018-03-18 12:00:00,316.0,7831.0
2018-03-18 13:00:00,793.0,783.0
2018-03-18 14:00:00,1151.0,0.0
2018-03-18 15:00:00,980.0,0.0
2018-03-18 16:00:00,1578.0,2351.0
2018-03-18 17:00:00,1457.0,1343.0
2018-03-18 18:00:00,783.0,2015.0
2018-03-18 19:00:00,1015.0,3357.0
2018-03-18 20:00:00,159.0,0.0
2018-03-18 21:00:00,155.0,0.0
2018-03-18 22:00:00,240.0,7160.0
2018-03-18 23:00:00,413.0,9279.0
2018-03-19 00:00:00,305.0,4025.0
2018-03-19 01:00:00,113.0,0.0
2018-03-19 02:00:00,209.0,0.0
2018-03-19 04:00:00,195.0,0.0
2018-03-19 05:00:00,127.0,112.0
2018-03-19 06:00:00,172.0,224.0
2018-03-19 07:00:00,132.0,0.0
2018-03-19 08:00:00,122.0,112.0
2018-03-19 09:00:00,202.0,112.0
2018-03-19 10:00:00,121.0,112.0
2018-03-19 11:00:00,286.0,448.0
2018-03-19 12:00:00,607.0,7378.0
2018-03-19 13:00:00,463.0,8057.0
2018-03-19 14:00:00,176.0,8505.0
2018-03-19 15:00:00,147.0,7602.0
