timestamp,home290_other2691_sensor18644c18653_electric-mains_electric-combined,home290_other2695_sensor18665_gas-pulse_gas
2018-02-12 14:00:00,2121.0,0.0
2018-02-12 15:00:00,693.0,0.0
2018-02-12 16:00:00,463.0,0.0
2018-02-12 17:00:00,1118.0,0.0
2018-02-12 18:00:00,1981.0,0.0
2018-02-12 19:00:00,936.0,0.0
2018-02-12 20:00:00,1039.0,0.0
2018-02-12 21:00:00,804.0,0.0
2018-02-12 22:00:00,517.0,0.0
2018-02-12 23:00:00,250.0,0.0
2018-02-13 00:00:00,147.0,0.0
2018-02-13 01:00:00,313.0,0.0
2018-02-13 03:00:00,313.0,0.0
2018-02-13 04:00:00,233.0,0.0
2018-02-13 06:00:00,729.0,0.0
2018-02-13 09:00:00,277.0,0.0
2018-02-13 10:00:00,346.0,0.0
2018-02-13 11:00:00,872.0,0.0
2018-02-13 12:00:00,1626.0,0.0
2018-02-13 13:00:00,544.0,0.0
2018-02-13 14:00:00,264.0,0.0
2018-02-13 15:00:00,2392.0,0.0
2018-02-13 16:00:00,624.0,0.0
2018-02-13 17:00:00,1563.0,0.0
2018-02-13 18:00:00,2184.0,0.0
2018-02-13 19:00:00,2867.0,0.0
2018-02-13 20:00:00,1515.0,0.0
2018-02-13 21:00:00,592.0,0.0
2018-02-13 22:00:00,836.0,0.0
2018-02-13 23:00:00,513.0,0.0
2018-02-14 00:00:00,363.0,0.0
2018-02-14 01:00:00,390.0,0.0
2018-02-14 03:00:00,233.0,0.0
2018-02-14 06:00:00,269.0,0.0
2018-02-14 07:00:00,1919.0,0.0
2018-02-14 08:00:00,800.0,0.0
2018-02-14 09:00:00,176.0,0.0
2018-02-14 10:00:00,209.0,0.0
2018-02-14 11:00:00,190.0,0.0
2018-02-14 12:00:00,187.0,0.0
2018-02-14 13:00:00,165.0,0.0
2018-02-14 14:00:00,187.0,0.0
2018-02-14 15:00:00,259.0,1041957.0
2018-02-14 16:00:00,309.0,0.0
2018-02-14 17:00:00,264.0,0.0
2018-02-14 18:00:00,275.0,0.0
2018-02-14 19:00:00,265.0,0.0
2018-02-14 20:00:00,339.0,0.0
2018-02-14 21:00:00,261.0,0.0
2018-02-14 22:00:00,200.0,0.0
2018-02-14 23:00:00,207.0,0.0
2018-02-15 00:00:00,181.0,0.0
2018-02-15 01:00:00,140.0,0.0
2018-02-15 02:00:00,178.0,0.0
2018-02-15 03:00:00,198.0,0.0
2018-02-15 04:00:00,203.0,0.0
2018-02-15 05:00:00,267.0,43599.0
2018-02-15 06:00:00,248.0,0.0
2018-02-15 07:00:00,254.0,0.0
2018-02-15 08:00:00,216.0,0.0
2018-02-15 09:00:00,159.0,0.0
2018-02-15 10:00:00,170.0,0.0
2018-02-15 11:00:00,198.0,0.0
2018-02-15 12:00:00,210.0,0.0
2018-02-15 13:00:00,167.0,0.0
2018-02-15 14:00:00,189.0,0.0
2018-02-15 15:00:00,252.0,0.0
2018-02-15 16:00:00,236.0,31594.0
2018-02-15 17:00:00,253.0,0.0
2018-02-15 18:00:00,378.0,0.0
2018-02-15 19:00:00,406.0,0.0
2018-02-15 20:00:00,349.0,0.0
2018-02-15 21:00:00,193.0,0.0
2018-02-15 22:00:00,246.0,0.0
2018-02-15 23:00:00,145.0,0.0
2018-02-16 00:00:00,167.0,0.0
2018-02-16 01:00:00,330.0,0.0
2018-02-16 03:00:00,133.0,0.0
2018-02-16 06:00:00,207.0,0.0
2018-02-16 07:00:00,187.0,0.0
